               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090798,             0.04401,            0.012537,             0.74174,             0.23169,             0.24024,             0.10152,            0.063513,            0.033671,           0.0091909,            0.070091,           0.0033232,           0.0033232
                   1,            0.070234,            0.039218,           0.0057099,             0.37764,             0.35574,             0.25326,             0.10522,            0.060405,            0.031985,           0.0075965,             0.03996,           0.0065247,           0.0065247
                   2,            0.064806,              0.0386,           0.0043846,             0.38922,             0.42665,             0.37375,             0.15609,            0.059017,            0.030961,           0.0081202,           0.0096959,           0.0095942,           0.0095942
                   3,            0.059341,            0.036509,           0.0042915,             0.64075,             0.37696,             0.42497,             0.21911,            0.051057,            0.031145,           0.0091909,            0.009406,            0.009406,            0.009406
                   4,            0.057211,            0.037009,           0.0036396,             0.53131,             0.45569,             0.46582,             0.23445,            0.050109,            0.029871,           0.0058992,            0.009406,            0.009406,            0.009406
                   5,            0.053928,            0.035223,           0.0032664,               0.672,             0.48785,             0.53624,             0.28865,            0.048372,            0.028273,           0.0064906,            0.009208,            0.009208,            0.009208
                   6,            0.052968,            0.035328,           0.0027544,             0.68893,             0.51444,             0.57628,             0.31443,            0.045476,            0.027814,           0.0051645,             0.00901,             0.00901,             0.00901
                   7,            0.051205,            0.034198,           0.0025423,             0.65897,             0.52683,             0.56946,             0.32287,            0.044598,             0.02749,           0.0064046,            0.008812,            0.008812,            0.008812
                   8,            0.049792,            0.033587,           0.0023975,             0.71362,             0.52798,              0.5948,             0.32916,            0.043538,            0.026584,           0.0052051,            0.008614,            0.008614,            0.008614
                   9,            0.048701,            0.032636,           0.0021837,             0.71767,             0.53068,             0.58983,             0.34411,            0.043745,            0.026947,           0.0051786,            0.008416,            0.008416,            0.008416
                  10,            0.048058,            0.031773,           0.0019431,             0.68499,             0.56773,             0.61154,             0.34976,            0.042645,             0.02589,           0.0052418,            0.008218,            0.008218,            0.008218
                  11,            0.047205,            0.031519,           0.0018036,             0.70728,             0.53673,             0.59973,             0.34906,            0.043571,            0.026763,           0.0046743,             0.00802,             0.00802,             0.00802
                  12,            0.046982,            0.031933,           0.0017471,             0.69755,             0.54191,             0.60297,             0.35735,            0.042609,            0.026133,           0.0050575,            0.007822,            0.007822,            0.007822
                  13,            0.046385,            0.031395,           0.0017453,             0.70886,             0.57103,             0.63528,             0.37715,            0.041057,            0.025484,            0.004176,            0.007624,            0.007624,            0.007624
                  14,            0.045488,            0.030535,           0.0016249,             0.77255,              0.5542,             0.63879,             0.38606,            0.040683,            0.025309,           0.0051472,            0.007426,            0.007426,            0.007426
                  15,            0.045331,            0.030092,            0.001493,             0.78707,             0.54574,             0.63222,             0.36834,            0.041797,            0.025858,           0.0051339,            0.007228,            0.007228,            0.007228
                  16,            0.044539,            0.029672,           0.0014031,             0.76465,             0.56435,             0.63785,             0.39088,            0.040043,            0.025059,           0.0053691,             0.00703,             0.00703,             0.00703
                  17,            0.044199,            0.029917,           0.0013637,             0.78321,             0.56752,             0.65374,             0.39075,            0.041417,            0.024914,           0.0047319,            0.006832,            0.006832,            0.006832
                  18,            0.043676,            0.029633,           0.0015654,             0.74455,             0.58594,             0.65925,             0.39481,            0.040119,            0.024866,           0.0045769,            0.006634,            0.006634,            0.006634
                  19,            0.043738,             0.02973,           0.0012587,             0.76546,             0.57705,             0.64616,             0.39937,            0.040236,            0.024551,           0.0051881,            0.006436,            0.006436,            0.006436
                  20,            0.043863,            0.028873,           0.0012459,             0.76664,             0.55582,             0.64984,             0.40128,            0.040199,            0.025401,           0.0042462,            0.006238,            0.006238,            0.006238
                  21,            0.043464,            0.029154,           0.0013271,             0.78677,             0.59059,             0.66421,             0.41058,            0.039551,            0.024172,           0.0047955,             0.00604,             0.00604,             0.00604
                  22,            0.042533,            0.028966,           0.0013023,             0.78483,             0.58532,             0.67029,             0.39534,            0.039491,            0.024173,           0.0047242,            0.005842,            0.005842,            0.005842
                  23,            0.041965,            0.028058,           0.0012159,              0.8024,             0.56118,             0.65988,             0.41442,            0.039063,            0.024292,           0.0042213,            0.005644,            0.005644,            0.005644
                  24,            0.042211,            0.027758,           0.0010883,             0.77056,             0.58655,             0.66185,             0.41337,            0.038805,            0.024294,           0.0049645,            0.005446,            0.005446,            0.005446
                  25,            0.041828,            0.027985,          0.00092286,             0.77224,             0.59737,             0.66725,             0.42242,            0.039044,            0.024017,           0.0042162,            0.005248,            0.005248,            0.005248
                  26,            0.042017,            0.027949,           0.0010798,             0.75603,             0.61514,             0.67244,             0.42512,            0.038921,            0.024436,           0.0045281,             0.00505,             0.00505,             0.00505
                  27,            0.041163,            0.027426,           0.0010102,             0.76808,              0.6001,             0.67469,             0.42158,            0.038406,             0.02428,           0.0046416,            0.004852,            0.004852,            0.004852
                  28,            0.040371,            0.026644,          0.00080218,             0.79223,             0.58501,             0.65767,             0.41465,            0.038636,             0.02452,           0.0044329,            0.004654,            0.004654,            0.004654
                  29,            0.040748,            0.026557,          0.00091248,             0.78677,             0.59516,             0.67187,             0.41799,            0.038411,            0.023978,           0.0045105,            0.004456,            0.004456,            0.004456
                  30,            0.040213,            0.026735,          0.00076649,             0.79646,             0.60061,             0.67921,             0.42484,            0.038236,            0.023767,            0.004709,            0.004258,            0.004258,            0.004258
                  31,             0.03987,             0.02675,          0.00085613,             0.74086,             0.60646,             0.67141,             0.42339,            0.037899,            0.023881,           0.0049212,             0.00406,             0.00406,             0.00406
                  32,            0.040486,            0.027082,           0.0008055,             0.76822,             0.60799,             0.67175,             0.43362,            0.037979,            0.023862,           0.0049487,            0.003862,            0.003862,            0.003862
                  33,            0.039596,            0.025868,          0.00084207,             0.79314,             0.60913,             0.68254,             0.43874,            0.038005,            0.023947,           0.0051447,            0.003664,            0.003664,            0.003664
                  34,             0.03997,            0.026791,          0.00080814,             0.77203,             0.62362,             0.69203,             0.44905,            0.037674,            0.023564,           0.0046752,            0.003466,            0.003466,            0.003466
                  35,            0.039871,            0.026372,          0.00081872,             0.74803,             0.62047,             0.68413,             0.44006,            0.037965,             0.02367,           0.0042901,            0.003268,            0.003268,            0.003268
                  36,            0.039137,            0.025215,          0.00070748,             0.78829,               0.618,             0.69294,             0.44981,            0.037846,            0.023866,           0.0042086,             0.00307,             0.00307,             0.00307
                  37,            0.039369,             0.02593,          0.00065552,             0.80691,             0.60779,             0.69175,             0.44914,            0.037265,            0.023816,           0.0045608,            0.002872,            0.002872,            0.002872
                  38,            0.039206,            0.026449,          0.00067512,              0.7931,             0.58912,              0.6708,             0.43613,            0.037429,            0.023784,           0.0049823,            0.002674,            0.002674,            0.002674
                  39,            0.039022,            0.025656,          0.00070391,             0.80119,             0.61167,             0.69444,             0.45234,            0.037374,            0.023355,           0.0044002,            0.002476,            0.002476,            0.002476
                  40,            0.038725,            0.025617,          0.00063224,             0.81117,             0.60416,             0.69094,             0.45339,            0.037198,            0.023615,           0.0050481,            0.002278,            0.002278,            0.002278
                  41,            0.038492,            0.025323,          0.00063107,             0.79195,             0.60686,             0.68234,             0.44954,            0.037084,            0.023541,           0.0052301,             0.00208,             0.00208,             0.00208
                  42,            0.038232,            0.024879,          0.00061644,             0.78942,             0.61193,             0.68919,             0.44878,            0.037222,             0.02359,           0.0051354,            0.001882,            0.001882,            0.001882
                  43,             0.03813,            0.024708,          0.00062339,             0.77574,             0.61021,             0.68278,             0.44055,            0.037149,            0.023676,           0.0047522,            0.001684,            0.001684,            0.001684
                  44,            0.037887,            0.024658,          0.00053979,             0.76632,             0.63845,             0.69463,             0.45113,            0.036992,            0.023477,           0.0047371,            0.001486,            0.001486,            0.001486
                  45,            0.037842,            0.024395,          0.00050058,             0.80007,             0.61374,             0.68628,             0.44264,            0.037067,            0.023487,           0.0051247,            0.001288,            0.001288,            0.001288
                  46,            0.037223,             0.02484,          0.00054156,              0.7705,             0.62315,             0.68413,               0.447,            0.036864,              0.0237,           0.0049991,             0.00109,             0.00109,             0.00109
                  47,            0.038167,            0.025008,           0.0005145,             0.77169,              0.6149,             0.68499,             0.44451,            0.036999,            0.023642,           0.0051566,            0.000892,            0.000892,            0.000892
                  48,            0.037135,            0.024817,          0.00048493,             0.79376,               0.622,             0.69142,             0.44816,            0.036788,            0.023573,            0.004701,            0.000694,            0.000694,            0.000694
                  49,            0.037359,             0.02421,          0.00048999,             0.78362,             0.62588,             0.69625,             0.45774,            0.036659,            0.023506,           0.0048752,            0.000496,            0.000496,            0.000496
